"connection","stream","status","dataspace","database","schema","table","dlo","accessMode"
"AMER_HCP_PREPROD_CDP","training_HCP_Audience","NEEDS_ACTIVATION","LAB","CDP_US_HCP_STG_DB","HCP_DC_IN","HCP_GRV_USERS","training_HCP_Audience__dll","DIRECT_ACCESS"
"AMER_HCP_PREPROD_CDP","DEV_PAT_CUSTOMER_EMAILS","NEEDS_ACTIVATION","DEV_PAT","CDP_US_PAT_DEV_DB","PAT_DC_IN","PAT_CUSTOMER_EMAILS","DEV_PAT_CUSTOMER_EMAILS__dll","DIRECT_ACCESS"
"AMER_HCP_PREPROD_CDP","DEV_PAT_CUSTOMER_EXTERNAL_IDS","NEEDS_ACTIVATION","DEV_PAT","CDP_US_PAT_DEV_DB","PAT_DC_IN","PAT_CUSTOMER_EXTERNAL_IDS","DEV_PAT_CUSTOMER_EXTERNAL_IDS__dll","DIRECT_ACCESS"
"AMER_HCP_PREPROD_CDP","DEV_PAT_CUSTOMER_MOBILE_NUMBERS","NEEDS_ACTIVATION","DEV_PAT","CDP_US_PAT_DEV_DB","PAT_DC_IN","PAT_CUSTOMER_MOBILE_NUMBERS","DEV_PAT_CUSTOMER_MOBILE_NUMBERS__dll","DIRECT_ACCESS"
"AMER_HCP_PREPROD_CDP","DEV_PAT_CUSTOMERS","NEEDS_ACTIVATION","DEV_PAT","CDP_US_PAT_DEV_DB","PAT_DC_IN","PAT_CUSTOMERS","DEV_PAT_CUSTOMERS__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_DIM_CUST","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","DIM_CUST","PRD_DIM_CUST__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_DIM_CUST_EXTL_ID_NPI","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","DIM_CUST_EXTL_ID_NPI","PRD_DIM_CUST_EXTL_ID_NPI__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_DIM_CUST_HCP_ACTIVE_EXCLUSION","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","DIM_CUST_HCP_ACTIVE_EXCLUSIONS","PRD_DIM_CUST_HCP_ACTIVE_EXCLUSION__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_DIM_CUST_HCP_ACTIVE_SUPPRESSION","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","DIM_CUST_HCP_ACTIVE_SUPPRESSIONS","PRD_DIM_CUST_HCP_ACTIVE_SUPPRESSION__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_DMART_HCP_SEGMENTATION","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","DMART_HCP_SEGMENTATION","PRD_DMART_HCP_SEGMENTATION__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_HCP_EMAIL_COHORT_SEGMENTATION","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","HCP_EMAIL_COHORT_SEGMENTATION","PRD_HCP_EMAIL_COHORT_SEGMENTATION__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_HCP_EMAIL_IOS_PRIVACY_PROXY_SEG","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","HCP_EMAIL_IOS_PRIVACY_PROXY_SEGMENTATION","PRD_HCP_EMAIL_IOS_PRIVACY_PROXY_SEG__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_HCP_GCP_CONTACT","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","HCP_GCP_CONTACTS","PRD_HCP_GCP_CONTACT__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_HCP_GCP_DIRECTMAIL_PERMISSION","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","HCP_GCP_DIRECTMAIL_PERMISSIONS","PRD_HCP_GCP_DIRECTMAIL_PERMISSION__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_HCP_GCP_EMAIL_PERMISSION","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","HCP_GCP_EMAIL_PERMISSIONS","PRD_HCP_GCP_EMAIL_PERMISSION__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_HCP_GCP_GRV_UUID","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","HCP_GCP_GRV_UUIDS","PRD_HCP_GCP_GRV_UUID__dll","DIRECT_ACCESS"
"AMER_HCP_PROD_CDP","PRD_HCP_GRV_PFZ_CUST_ID","NEEDS_ACTIVATION","PRD_US","CDP_US_HCP_PROD_DB","HCP_DC_IN","HCP_GRV_PFZ_CUST_IDS","PRD_HCP_GRV_PFZ_CUST_ID__dll","DIRECT_ACCESS"
